English,Japanese,Kanji
textbook,きょうかしょ,教科書
page,ページ,
next,つぎ,次
money,おかね,お金
baggage,にもつ,荷物
personal computer,パソコン,
shower,シャワー,
air conditioner,エアコン,
electricity; light,でんき,電気
window,まど,窓
train,でんしゃ,電車
country; place of origin,くに,国
this week,こんしゅう,今週
next week,らいしゅう,来週
next year,らいねん,来年
night,よる,夜
tough (situation),たいへん（な）,大変
to play; to spend time pleasantly,あそぶ,遊ぶ
to hurry,いそぐ,急ぐ
to return (a thing) (person に thing を),かえす,返す
to turn off; to erase (～を),けす,消す
to die,しぬ,死ぬ
to sit down (seat に),すわる,座る
to stand up,たつ,立つ
to smoke,タバコをすう,タバコを吸う
to use (～を),つかう,使う
to help (person/task を),てつだう,手伝う
to enter (～に),はいる,入る
to carry; to hold (～を),もつ,持つ
to be absent (from...) (～を); to rest,やすむ,休む
to open (something) (～を),あける,開ける
to close (something) (～を),しめる,閉める
to teach; to instruct (person に thing を),おしえる,教える
to forget; to leave behind (～を),わすれる,忘れる
to get off (～を),おりる,降りる
to borrow (person に thing を),かりる,借りる
to take a shower,シャワーをあびる,シャワーを浴びる
to turn on (～を),つける,
to call (～に),でんわする,電話する
to bring (a person) (～を),つれてくる,連れてくる
to bring (a thing) (～を),もってくる,持ってくる
later on,あとで,後で
right away,すぐ,
slowly; leisurely; unhurriedly,ゆっくり,
That would be fine.; That wouldn't be necessary,けっこうです,結構です
Really?,ほんとうですか,本当ですか
family,かぞく,家族
grandfather; old man,おじいさん,
grandmother; old woman,おばあさん,
older brother,おにいさん,お兄さん
older sister,おねえさん,お姉さん
(my) father,ちち,父
(my) mother,はは,母
(my) older brother,あに,兄
(my) older sister,あね,姉
younger sister,いもうと,妹
younger brother,おとうと,弟
brothers and sisters,きょうだい,兄弟
man,おとこのひと,男の人
woman,おんなのひと,女の人
company,かいしゃ,会社
cafeteria; dining commons,しょくどう,食堂
department store,デパート,
hair,かみ,髪
mouth,くち,口
eye,め,目
glasses,めがね,眼鏡
song,うた,歌
club activity,サークル,
car,くるま,車
long,ながい,長い
short,みじかい,短い
fast,はやい,速い
tall (stature),せがたかい,背が高い
short (stature),せがひくい,背が低い
bright; smart; clever (conjugates like いい),あたまがいい,頭がいい
cute,かわいい,可愛い
kind,しんせつ（な）,親切
convenient,べんり（な）,便利
to sing (~を),うたう,歌う
to put on (a hat) (~を),かぶる,
to put on (items below your waist) (~を),はく,
to get to know (~を),しる,知る
I know,しっています,知っています
I do not know,しりません,知りません
to live (～にすんでいます),すむ,住む
to work,はたらく,働く
to gain weight,ふとる,太る
to be on the heavyside; overweight,ふとっています,太っています
to put on (glasses),（めがねを）かける,
to put on (clothes above your waist) (~を),きる,着る
to lose weight,やせる,
to be thin,やせています,
to get married (～と),けっこんする,結婚する
"... but",～が,～が
not...anything,なにも+negative,何も
[counter for people],～にん,～人
one person,ひとり,一人
two people,ふたり,二人
nothing in particular,べつに+negative,別に
of course,もちろん,
if you like,よかったら,
sunny weather,はれ,晴れ
rain,あめ,雨
cloudy weather,くもり,曇り
snow,ゆき,雪
weather forecast,てんきよほう,天気予報
temperature (weather - not used for things),きおん,気温
summer,なつ,夏
winter,ふゆ,冬
this morning,けさ,今朝
the day after tomorrow,あっさて,
every week,まいしゅう,毎週
this month,こんげつ,今月
next month,らいげつ,来月
office worker,かいしゃいん,会社員
job; work; occupation,しごと,仕事
camera,カメラ,
karaoke,カラオケ,
place,ところ,所
tomato,トマト,
chopsticks,はし,
party,パーティー,
barbecue,バーベキュー,
homestay; living with a local family,ホームステイ,
bath,おふろ,お風呂
Spain,スペイン,
something,なにか,何か
skillful; good at (～が）,じょうず（な）,上手
clumsy; poor at (～が）,へた（な）,下手
famous,ゆうめい（な）,有名
to wash (～を）,あらう,洗う
to say,いう,言う
to need (～が）,いる,
to be late,おそくなる,遅くなる
to take a bath,おふろにはいる,お風呂に入る
to think,おもう,思う
to cut (～を）,きる,切る
to make (～を),つくる,作る
(rain/snow) falls（～が）,ふる,降る
to take (a thing) (～を）,もっていく,持っていく
to throw away (～を）,すてる,捨てる
to begin (～を）,はじめる,始める
to drive (～を）,うんてんする,運転する
to do laundry (～を）,せんたくする,洗濯する
to clean (～を）,そうじする,掃除する
to cook,りょうりする,料理する
uh-huh;yes,うん,
uh-uh;no,ううん,
always,いつも,
(do something) late,おそく,遅く
Cheers! (a toast),かんぱい,乾杯
all (of the people) together,みんなで,
That's too bad.,ざんねん,残念
not...yet,まだ＋negative,
about...;concerning...,～について,
...degrees(temperature),～ど,～度
how,どう,
word; vocabulary,たんご,単語
essay; composition,さくぶん,作文
exam,しけん,試験
letter,てがみ,手紙
e-mail,メール,
guitar,ギター,
piano,ピアノ,
concert,コンサート,
ticket,チケット,
Kabuki; traditional Japanese theatrical art,かぶき,歌舞伎
ski,スキー,
boxed lunch,おべんとう,お弁当
pizza,ピザ,
illness; sickness,びょうき,病気
medicine,くすり,薬
good child,いいこ,いい子
color,いろ,色
near future,こんど,今度
last month,せんげつ,先月
last year,きょねん,去年
lonely,さびしい,寂しい
young,わかい,若い
mean-spirited,いじわる（な）,意地悪
to dance,おどる,踊る
(something) ends (～が),おわる,終わる
to take medicine,くすりをのむ,薬を飲む
to be popular,にんきがある,人気がある
(something) begins (～が),はじまる,始まる
to play (a string instrument or piano) (～を),ひく,弾く
to get (from somebody) (person に thing を),もらう,
to memorize (～を),おぼえる,覚える
to appear; to attend (～に）／ to exit (～を),でる,出る
to exercise,うんどうする,運動する
to take a walk,さんぽする,散歩する
(I think) so,そう,
from...,～から,
to (a place/a time),～まで,
by all means,ぜひ,是非
by the way,ところで,
all,みんな,
already,もう,
one,ひとつ,一つ
two,ふたつ,二つ
three,みっつ,三つ
four,よっつ,四つ
five,いつつ,五つ
six,むっつ,六つ
seven,ななつ,七つ
eight,やっつ,八つ
nine,ここのつ,九つ
ten,とお,十
season,きせつ,季節
spring,はる,春
fall,あき,秋
milk,ぎゅうにゅう,牛乳
cake,ケーキ,
sushi,すし,寿司
tempura,てんぷら,天ぷら
apple,りんご,
cuisine,りょうり,料理
soccer,サッカー,
baseball,やきゅう,野球
doctor,いしゃ,医者
rich person,おかねもち,お金持ち
celebrity,ゆうめいじん,有名人
face,かお,顔
someone older,としうえ,年上
station,えき,駅
shinkansen; bullet train,しんかんせん,新幹線
subway,ちかてつ,地下鉄
ship; boat,ふね,船
airplane,ひこうき,飛行機
reservation,よやく,予約
tour,ツアー,
zoo,どうぶつえん,動物園
time,じかん,時間
world,せかい,世界
beauty parlor,びよういん,美容院
gloves,てぶくろ,手袋
life; living,せいかつ,生活
this year,ことし,今年
warm,あたたかい,暖かい
cool (weather - not used for things),すずしい,涼しい
cold (things/people),つめたい,冷たい
slow; late,おそい,遅い
sleepy,ねむい,眠い
easy; simple,かんたん,簡単
to take (amount of time/money) (no particle),かかる,
to stay (at a hotel. etc) (～に),とまる,泊まる
to become,なる,
to decide,きめる,決める
to chill out at home; to stay home and do nothing,ごろごろする,
to travel,りょこうする,旅行する
to practice (～を),れんしゅうする,練習する
best,いちばん,一番
which,どっち；どちら,
(do something) early; fast,はやく,早く；速く
on foot,あるいて,歩いて
by (means of transportation); with (a tool),～で,
how; by what means,どうやって,
how much; how long,どのぐらい,
for...weeks,～しゅうかん,～週間
for...months,～かげつ,～か月
...years,～ねん,～年
these days,このごろ,
in...time; after...,～ご,～後
or,～か～,
foreign country,がいこく,外国
river,かわ,川
spa; hotspring,おんせん,温泉
fishing,つり,釣り
lake,みずうみ,湖
mountain,やま,山
camp,キャンプ,
drive,ドライブ,
shrine,じんじゃ,神社
art museum,びじゅつかん,美術館
president of a company,しゃちょう,社長
singer,かしゅ,歌手
roommate,ルームメイト,
host family,ホストファミリー,
future,しょうらい,将来
dream,ゆめ,夢
festival,おまつり,お祭り
New Year's,おしょうがつ,お正月
snack; sweets,おかし,お菓子
beer,ビール,
toy,おもちゃ,玩具
this semester,こんがっき,今学期
next semester,らいがっき,来学期
class,じゅぎょう,授業
this person (polite),こちら,
to tell a lie,うそをつく,嘘をつく
to become hungry,おなかがすく,
to own (a pet) (～を),かう,飼う
to cut (classes) (～を),サボる,
to take (a class); to get (a grade) (～を),とる,取る
to learn (～を),ならう,習う
to climb (place に),のぼる,登る
to run,はしる,走る
to get tired,つかれる,疲れる
to quit (～を),やめる,
to have a fight; to quarrel,けんかする,喧嘩する
to introduce (person に person を),しょうかいする,紹介する
to go on a diet,ダイエットする,
to be late (for an appointment) (～に),ちこくする,遅刻する
to study abroad (place に),りゅうがくする,留学する
coming from (place の),しゅっしん,出身
it has been a long time,ひさしぶり,久しぶり
okay; so-so,まあまあ,
more,もっと,
after (an event) (event の),あと,後
and then,そして,
just...; only...,～だけ,
...points,～てん,～点
occupations,しょくぎょう,職業
writer,さっか,作家
journalist,ジャーナリスト,
police officer,けいさつかん,警察官
firefighter,しょうぼうし,消防士
schoolteacher,きょうし,教師
researcher,けんきゅうしゃ,研究者
astronaut,うちゅうひこうし,宇宙飛行士
athlete,スポーツせんしゅ,スポーツ選手
president of a country,だいとうりょう,大統領
actor; actress,はいゆう,俳優
nurse,かんごし,看護師
chef,シェフ,
cartoonist,まんがか,漫画家
college; university,だいがく,大学
highschool,こうこう,高校
student,がくせい,学生
college student,だいがくせい,大学生
international student,りゅうがくせい,留学生
teacher; professor,せんせい,先生
... year student,～ねんせい,年生
first-year student,いちねんせい,一年生
major,せんこう,専攻
I,わたし,私
friend,ともだち,友達
Mr./Ms.,さん,
... people,じん,人
Japanese people,にほんじん,日本人
now,いま,今
A.M.,ごぜん,午前
P.M.,ごご,午後
o'clock,～じ,～時
one o'clock,いちじ,一時
half,はん,半
half past two,にじはん,二時半
Japan,にほん,日本
U.S.A,アメリカ,
... language,～ご,～語
Japanese language,にほんご,日本語
... years old,～さい,～歳
telephone,でんわ,電話
number...,～ばん,番
number,ばんごう,番号
name,なまえ,名前
what,なん・なに,何
um...,あのー,
yes,はい,
That's right,そうです,
I see; Is that so?,そうですか,
Britain,イギリス,
Australia,オーストラリア,
Korea,かんこく,韓国
Canada,カナダ,
China,ちゅうごく,中国
India,インド,
Egypt,エジプト,
Philippines,フィリピン,
Asian studies,アジアけんきゅう,アジア研究
Economics,けいざい,経済
Enigineering,こうがく,工学
International relations,こくさいかんけい,国際関係
computer,コンピューター,
politics,せいじ,政治
biology,せいぶつがく,生物学
business,ビジネス,
literature,ぶんがく,文学
history,れきし,歴史
high school student,こうこうせい,高校生
housewife,しゅふ,主婦
graduate student,だいがくいんせい,大学院生
lawyer,べんごし,弁護士
mother,おかあさん,お母さん
father,おとうさん,お父さん
this one,これ,
that one,それ,
that one (over there),あれ,
which one,どれ,
this...,この,
that...,その,
that... (over there),あの,
which...,どの,
here,ここ,
there,そこ,
over there,あそこ,
where,どこ,
who,だれ,誰
delicious,おいしい,
fish,さかな,魚
pork cutlet,とんかつ,
meat,にく,肉
menu,メニュー,
vegetable,やさい,野菜
umbrella,かさ,傘
bag,かばん,鞄
shoes,くつ,靴
wallet,さいふ,財布
jeans,ジーンズ,
bicycle,じてんしゃ,自転車
newspaper,しんぶん,新聞
smartphone; mobile,スマホ,
T-shirt,チーシャツ,
watch; clock,とけい,時計
notebook,ノート,
pen,ペン,
hat; cap,ぼうし,帽子
book,ほん,本
bank,ぎんこう,銀行
convenience store,コンビニ,
toilet; restroom,トイレ,
library,としょかん,図書館
post office,ゆうびんきょく,郵便局
English (language),えいご,英語
economics,けいざい,経済
how much,いくら,幾ら
...yen,～えん,～円
expensive; high,たかい,高い
Welcome (to our store),いらっしゃいませ,
"... please.",おねがいします,お願いします
Please give me...,おください,
then...; if that is the case,じゃあ,
Please; Here it is,どうぞ,
Thank you.,どうも,
movie,えいが,映画
music,おんがく,音楽
magazine,ざっし,雑誌
sports,スポーツ,
date (romantic - not calendar),デート,
tennis,テニス,
TV,テレビ,
ice cream,アイスクリーム,
hamburger,ハンバーガー,
sake; alcoholic drink,おさけ,お酒
green tea,おちゃ,お茶
coffee,コーヒー,
water,みず,水
breakfast,あさごはん,朝ご飯
lunch,ひるごはん,昼ご飯
dinner,ばんごはん,晩ご飯
home; house,いえ,家
home; house; my place,うち,家
school,がっこう,学校
cafe,カフェ,
tomorrow,あした,明日
today,きょう,今日
morning,あさ,朝
tonight,こんばん,今晩
every day,まいにち,毎日
every night,まいばん,毎晩
weekend,しゅうまつ,週末
when,いつ,何時
at about...,～ごろ,
to go (destination に/へ),いく,行く
to go back; to return  (destination に/へ),かえる,帰る
to listen; to hear (~を),きく,聞く
to drink (~を),のむ,飲む
to speak; to talk (language を/で）,はなす,話す
to read (~を),よむ,読む
to get up,おきる,起きる
to eat (~を）,たべる,食べる
to sleep; to go to sleep,ねる,寝る
to see; to look at; to watch (~を),みる,見る
to come  (destination に/へ) ,くる,来る
to do (~を),する,
to study (~を),べんきょうすれ,勉強する
good,いい,
early,はやい,早い
not much,あまり+negative,
not at all,ぜんぜん+negative,全然
usually,たいてい,
a little,ちょっと,
sometimes,ときどき,時々
often; much,よく,
That's right; Let me see,そうですね,
but,でも,
How about...?; How is...?,どうですか,
yes,ええ,
blackboard,こくばん,黒板
light,でんき,電気
curtain,カーテン,
door,ドア,
eraser,けしゴム,消しゴム
pencil,えんぴつ,鉛筆
dictionary,じしょ,辞書
Do you understand?,わかりましたか。,分かりましたか
I understand. / I understood.,わかりました。,分かりました
I don't understand. / I don't know,わかりません。,分かりません
Please say it slowly.,ゆっくりいってください。,ゆっくり言ってください
Please say it again.,もういちどいってください。,もう一度言ってください
Please wait for a while.,ちょっとまってください。,ちょっと待ってください
Please listen. / Please ask.,きいてください。,聞いてください
Please look at page 10.,じゅうページをみてください。,十ページを見てください
eyebrows,まゆげ,眉毛
ear,みみ,耳
nose,はな,鼻
tooth,は,歯
neck,くび,首
finger,ゆび,指
hand,て,手
head,あたま,頭
back,せなか,背中
butt,おしり,
shoulder,かた,肩
chest,むね,胸
belly,おなか,
foot;leg,あし,足
local,ふつう,普通
express,きゅうこう,急行
super express,とっきゅう,特急
bound for...,～いき,～行き
serving...areas,～ほうめん,～方面
(boarding) ticket,じょうしゃけん,乗車券
commuter's pass,ていきけん,定期券
student discount,がくわり,学割
reserved seat,していせき,指定席
general admission seat,じゆうせき,自由席
Car No. 1,いちごうしゃ,一号車
round trip,おうふく,往復
one way,かたみち,片道
"rechargeable card such as Suica Icoca Pasmo",こうつうけいIC（アイシー）カード,交通系ICカード
track number...,～ばんせん,～番線
ticket vending area,きっぷうりば,切符売り場
gate,かいさつ,改札
platform,ホーム,
shop; stand,ばいてん,売店
exit,でぐち,出口
entrance,いりぐち,入口
stairs,かいだん,階段
transfer,のりかえ,乗り換え
next (stop)...,つぎは～,次は～
departing first,せんぱつ,先発
departing second,じはつ,次発
last train,しゅうでん,終電
We will be leaving soon,まもなくはっしゃします,まもなく発車します
A train is arriving,でんしゃがまいります,電車が参ります
Next (we'll stop at)...,つぎは～にとまります,次は～に止まります
The doors are closing. Please be careful.,ドアがしまります,ドアが閉まります
Does this train stop at Akihabara?,このでんしゃはあきはばらにとまりますか,この電車は秋葉原に止まりますか
What time is the last train?,しゅうでんはなんじですか,終電は何時ですか
"One reserved ticket to Tokyo. please.",とうきょうまでのしていせきをいちまいおねがいします,東京までの指定席を一枚お願いします
Can I get a student discount?,がくわりがつかえますか,学割が使えますか
Do you have avocado?,アボカドはありますか。,
Is there alcohol in this?,このなかにおさけがはいっていますか。,この中にお酒が入っていますか。
Is this halal?,これはハラルフードですか。,
I have an allergy to peanuts.,ピーナッツアレルギーがあります。,
Can I have a bag?,ふくろをおねがいします。,袋をお願いします。
strawberry,いちご,
watermelon,すいか,
mandarin orange,みかん,
peach,もも,
grape,ぶどう,
carrot,にんじん,
onion,たまねぎ,
potato,じゃがいも,
eggplant,なす,
cucumber,きゅうり,
cabbage,キャベツ,
beef,ぎゅうにく,牛肉
pork,ぶたにく,豚肉
chicken,とりにく,鶏肉
